id,date,workout,duration,distance,pace,category,user_id
212,2017-07-31,Chest,52,0.0,0.0,chest,1
213,2017-08-01,Back,54,0.0,0.0,back,1
214,2017-08-02,Legs,59,0.0,0.0,legs,1
215,2017-08-03,Compound,87,0.0,0.0,compound,1
216,2017-08-04,Back,59,0.0,0.0,back,1
217,2017-08-05,Chest,55,0.0,0.0,chest,1
218,2017-08-06,Back,55,0.0,0.0,back,1
219,2017-08-07,Chest,52,0.0,0.0,chest,1
220,2017-08-08,Legs,68,0.0,0.0,legs,1
221,2017-08-09,Back,63,0.0,0.0,back,1
222,2017-08-10,Chest,87,0.0,0.0,chest,1
223,2017-08-11,Compound,63,0.0,0.0,compound,1
224,2017-08-12,Back,53,0.0,0.0,back,1
225,2017-08-13,Compound,48,0.0,0.0,compound,1
226,2017-08-14,Legs and Core,48,0.0,0.0,legs,1
227,2017-08-15,Chest,52,0.0,0.0,chest,1
228,2017-08-16,Back,47,0.0,0.0,back,1
229,2017-08-17,Chest,81,0.0,0.0,chest,1
230,2017-08-18,Back,59,0.0,0.0,back,1
231,2017-08-19,Legs,34,0.0,0.0,legs,1
232,2017-08-20,Compound,66,0.0,0.0,compound,1
233,2017-08-21,Compound,56,0.0,0.0,compound,1
234,2017-08-22,Back,51,0.0,0.0,back,1
235,2017-08-23,Legs and Core,52,0.0,0.0,legs,1
236,2017-08-24,Compound,61,0.0,0.0,compound,1
237,2017-08-25,Back,65,0.0,0.0,back,1
238,2017-08-26,Chest,49,0.0,0.0,chest,1
239,2017-08-27,Rest,0,0.0,0.0,rest,1
240,2017-08-28,Legs and Core,49,0.0,0.0,legs,1
241,2017-08-29,Chest,60,0.0,0.0,chest,1
242,2017-08-30,Back,45,0.0,0.0,back,1
243,2017-08-31,Compound,46,0.0,0.0,compound,1
244,2017-09-01,Legs and Core,49,0.0,0.0,legs,1
245,2017-09-02,Chest,51,0.0,0.0,chest,1
246,2017-09-03,Back,44,0.0,0.0,back,1
247,2017-09-04,Legs and Core,46,0.0,0.0,legs,1
248,2017-09-05,Back,55,0.0,0.0,back,1
249,2017-09-06,Chest,50,0.0,0.0,chest,1
250,2017-09-07,Back,46,0.0,0.0,back,1
251,2017-09-08,Legs and Core,49,0.0,0.0,legs,1
252,2017-09-09,Compound,50,0.0,0.0,compound,1
253,2017-09-10,Chest,45,0.0,0.0,chest,1
254,2017-09-11,Back,46,0.0,0.0,back,1
